element_type	osmid	building	newarea	peopleInDaHouse	allPeople	total	average	population
way	773060730	mosque	386.8377488914703	385.0	36150.0	36301.95557017714	0.9947948928037262	36113
way	774514449	yes	1243.1994181137231	1237.0	36150.0	36301.95557017714	0.9947948928037262	36113
way	851918357	yes	14.00757635287057	14.0	36150.0	36301.95557017714	0.9947948928037262	36113
way	927179506	mosque	135.3047944569205	135.0	36150.0	36301.95557017714	0.9947948928037262	36113
way	927179507	yes	297.76005793960053	297.0	36150.0	36301.95557017714	0.9947948928037262	36113
way	927179508	school	5282.00115727514	5255.0	36150.0	36301.95557017714	0.9947948928037262	36113
way	927179509	school	767.2234862004	764.0	36150.0	36301.95557017714	0.9947948928037262	36113
way	927179510	school	518.6905251857743	516.0	36150.0	36301.95557017714	0.9947948928037262	36113
way	927179517	yes	10.711707708691055	11.0	36150.0	36301.95557017714	0.9947948928037262	36113
way	927179518	yes	57.861590317086595	58.0	36150.0	36301.95557017714	0.9947948928037262	36113
way	938080153	school	857.5241255956238	854.0	36150.0	36301.95557017714	0.9947948928037262	36113
way	938080154	school	281.29693649326873	280.0	36150.0	36301.95557017714	0.9947948928037262	36113
way	938080155	yes	455.2640570100399	453.0	36150.0	36301.95557017714	0.9947948928037262	36113
way	938080156	yes	71.28947152905059	71.0	36150.0	36301.95557017714	0.9947948928037262	36113
way	938080157	yes	202.45447154398747	202.0	36150.0	36301.95557017714	0.9947948928037262	36113
way	938080158	yes	260.99140168373276	260.0	36150.0	36301.95557017714	0.9947948928037262	36113
way	938080159	school	637.4673952006295	635.0	36150.0	36301.95557017714	0.9947948928037262	36113
way	938080169	yes	1168.3274954882297	1163.0	36150.0	36301.95557017714	0.9947948928037262	36113
way	938080170	mosque	210.6892019713081	210.0	36150.0	36301.95557017714	0.9947948928037262	36113
way	938080171	roof	592.6299665450936	590.0	36150.0	36301.95557017714	0.9947948928037262	36113
way	938080176	school	849.4966274851564	846.0	36150.0	36301.95557017714	0.9947948928037262	36113
way	938080177	school	422.39488076990926	421.0	36150.0	36301.95557017714	0.9947948928037262	36113
way	938080178	yes	219.5515719325487	219.0	36150.0	36301.95557017714	0.9947948928037262	36113
way	938080179	yes	248.8200876696593	248.0	36150.0	36301.95557017714	0.9947948928037262	36113
way	938864730	hospital	775.6007732766386	772.0	36150.0	36301.95557017714	0.9947948928037262	36113
way	938864731	yes	32.18296188009846	33.0	36150.0	36301.95557017714	0.9947948928037262	36113
way	938864732	yes	67.74219985069806	68.0	36150.0	36301.95557017714	0.9947948928037262	36113
