element_type	osmid	building	newarea	peopleInDaHouse	allPeople	total	average	population
way	97407610	yes	1208.5435411624485	712.0	343813.0	583549.9730547304	0.5889161440639263	343662
way	97407617	yes	932.6865382627652	550.0	343813.0	583549.9730547304	0.5889161440639263	343662
way	97407618	yes	955.6133370017253	563.0	343813.0	583549.9730547304	0.5889161440639263	343662
way	97407623	yes	521.8639933103668	308.0	343813.0	583549.9730547304	0.5889161440639263	343662
way	97407633	yes	517.6178400938842	305.0	343813.0	583549.9730547304	0.5889161440639263	343662
way	97407639	yes	736.2879356904739	434.0	343813.0	583549.9730547304	0.5889161440639263	343662
way	97407663	yes	508.9779075273001	300.0	343813.0	583549.9730547304	0.5889161440639263	343662
way	97410960	yes	2459.3405062166717	1449.0	343813.0	583549.9730547304	0.5889161440639263	343662
way	97410963	yes	541.0835626841748	319.0	343813.0	583549.9730547304	0.5889161440639263	343662
way	97410975	yes	2469.465592409859	1455.0	343813.0	583549.9730547304	0.5889161440639263	343662
way	97410984	yes	2068.773039217534	1219.0	343813.0	583549.9730547304	0.5889161440639263	343662
way	97410990	yes	294.53917918563025	174.0	343813.0	583549.9730547304	0.5889161440639263	343662
way	97410992	yes	775.8715894661879	457.0	343813.0	583549.9730547304	0.5889161440639263	343662
way	97411003	yes	2290.900925169423	1350.0	343813.0	583549.9730547304	0.5889161440639263	343662
way	97411008	yes	1187.257546936412	700.0	343813.0	583549.9730547304	0.5889161440639263	343662
way	97411011	yes	684.982849508053	404.0	343813.0	583549.9730547304	0.5889161440639263	343662
way	97411017	yes	237.77093823149613	141.0	343813.0	583549.9730547304	0.5889161440639263	343662
way	97411022	yes	1049.2278641559692	618.0	343813.0	583549.9730547304	0.5889161440639263	343662
way	97411023	yes	645.4399740149772	381.0	343813.0	583549.9730547304	0.5889161440639263	343662
way	97411026	yes	1498.4070941888742	883.0	343813.0	583549.9730547304	0.5889161440639263	343662
way	97411042	school	742.2482824946613	438.0	343813.0	583549.9730547304	0.5889161440639263	343662
way	97411044	yes	602.9367731780466	356.0	343813.0	583549.9730547304	0.5889161440639263	343662
way	97411050	yes	685.9510315951138	404.0	343813.0	583549.9730547304	0.5889161440639263	343662
way	97411054	yes	425.1247657993706	251.0	343813.0	583549.9730547304	0.5889161440639263	343662
way	97414751	church	1467.084988210316	864.0	343813.0	583549.9730547304	0.5889161440639263	343662
way	97414770	yes	1142.6918185087554	673.0	343813.0	583549.9730547304	0.5889161440639263	343662
way	97414806	yes	1964.059409879649	1157.0	343813.0	583549.9730547304	0.5889161440639263	343662
way	97414809	yes	4999.684981195061	2945.0	343813.0	583549.9730547304	0.5889161440639263	343662
way	97414811	yes	632.3639164134056	373.0	343813.0	583549.9730547304	0.5889161440639263	343662
way	97414858	yes	1994.0026647464788	1175.0	343813.0	583549.9730547304	0.5889161440639263	343662
way	97420576	yes	6835.359514051319	4026.0	343813.0	583549.9730547304	0.5889161440639263	343662
way	97471991	yes	1363.011893841183	803.0	343813.0	583549.9730547304	0.5889161440639263	343662
way	97472002	yes	1008.9765141309621	595.0	343813.0	583549.9730547304	0.5889161440639263	343662
way	97472034	yes	1133.552802412134	668.0	343813.0	583549.9730547304	0.5889161440639263	343662
way	97472042	yes	6701.738153645533	3947.0	343813.0	583549.9730547304	0.5889161440639263	343662
