element_type	osmid	building	newarea	peopleInDaHouse	allPeople	total	average	population
way	232205732	yes	635.3190943846168	1087.0	14725.0	8609.295594520934	1.7094313743119804	14717
way	232205735	yes	359.3019349363399	615.0	14725.0	8609.295594520934	1.7094313743119804	14717
way	232205736	yes	1023.6240385646108	1750.0	14725.0	8609.295594520934	1.7094313743119804	14717
way	232205737	yes	585.5407309122024	1001.0	14725.0	8609.295594520934	1.7094313743119804	14717
way	232205738	yes	511.82077672375567	875.0	14725.0	8609.295594520934	1.7094313743119804	14717
way	232205739	yes	824.4161451408734	1410.0	14725.0	8609.295594520934	1.7094313743119804	14717
way	232205743	yes	218.1692483276562	373.0	14725.0	8609.295594520934	1.7094313743119804	14717
way	232205747	yes	215.11850590619238	368.0	14725.0	8609.295594520934	1.7094313743119804	14717
way	232205748	yes	640.6131609879886	1096.0	14725.0	8609.295594520934	1.7094313743119804	14717
way	232205749	yes	509.5026303474986	871.0	14725.0	8609.295594520934	1.7094313743119804	14717
way	232205752	yes	196.05463809461193	336.0	14725.0	8609.295594520934	1.7094313743119804	14717
way	232207135	yes	567.690160019486	971.0	14725.0	8609.295594520934	1.7094313743119804	14717
way	232207143	yes	1198.2192234731192	2049.0	14725.0	8609.295594520934	1.7094313743119804	14717
way	232208054	yes	290.08751355292026	496.0	14725.0	8609.295594520934	1.7094313743119804	14717
way	232209130	yes	224.85313863780937	385.0	14725.0	8609.295594520934	1.7094313743119804	14717
way	232209131	yes	291.71964719812155	499.0	14725.0	8609.295594520934	1.7094313743119804	14717
way	232209133	yes	317.2450073131314	543.0	14725.0	8609.295594520934	1.7094313743119804	14717
