element_type	osmid	building	newarea	peopleInDaHouse	allPeople	total	average	population
node	2704025244	public	0.0	0.0	372918.0	219664.35458671185	1.6975535275242029	372892
way	94129750	yes	10364.792129064466	17595.0	372918.0	219664.35458671185	1.6975535275242029	372892
way	203402723	yes	1775.2780483892636	3014.0	372918.0	219664.35458671185	1.6975535275242029	372892
way	203403801	yes	908.7997662678328	1543.0	372918.0	219664.35458671185	1.6975535275242029	372892
way	264292023	apartments	16058.855889386576	27261.0	372918.0	219664.35458671185	1.6975535275242029	372892
way	264753388	yes	2873.083071878221	4878.0	372918.0	219664.35458671185	1.6975535275242029	372892
way	264753752	yes	1081.8470202200233	1837.0	372918.0	219664.35458671185	1.6975535275242029	372892
way	264754748	yes	1376.0484601378082	2336.0	372918.0	219664.35458671185	1.6975535275242029	372892
way	266309631	yes	770.5277049175953	1309.0	372918.0	219664.35458671185	1.6975535275242029	372892
way	266309853	yes	8766.110657552465	14881.0	372918.0	219664.35458671185	1.6975535275242029	372892
way	266309854	yes	3228.788364023595	5482.0	372918.0	219664.35458671185	1.6975535275242029	372892
way	266309979	yes	4835.096934341635	8208.0	372918.0	219664.35458671185	1.6975535275242029	372892
way	266309980	yes	541.900452192933	920.0	372918.0	219664.35458671185	1.6975535275242029	372892
way	266309981	yes	8550.979864851564	14516.0	372918.0	219664.35458671185	1.6975535275242029	372892
way	267076647	yes	1610.641422764123	2735.0	372918.0	219664.35458671185	1.6975535275242029	372892
way	267076648	yes	1212.2782358958314	2058.0	372918.0	219664.35458671185	1.6975535275242029	372892
way	267413142	yes	821.5581655537475	1395.0	372918.0	219664.35458671185	1.6975535275242029	372892
way	267413143	yes	1164.8380616140835	1978.0	372918.0	219664.35458671185	1.6975535275242029	372892
way	267413144	yes	962.5646360115325	1635.0	372918.0	219664.35458671185	1.6975535275242029	372892
way	267413145	yes	662.2395861008738	1125.0	372918.0	219664.35458671185	1.6975535275242029	372892
way	267413146	yes	243.7611300869378	414.0	372918.0	219664.35458671185	1.6975535275242029	372892
way	399308930	yes	3483.730531351931	5914.0	372918.0	219664.35458671185	1.6975535275242029	372892
way	399308931	yes	1106.6533887264204	1879.0	372918.0	219664.35458671185	1.6975535275242029	372892
way	399308932	house	692.0231871344224	1175.0	372918.0	219664.35458671185	1.6975535275242029	372892
way	399308933	house	2688.672366575736	4565.0	372918.0	219664.35458671185	1.6975535275242029	372892
way	399308935	house	1526.2860716656703	2591.0	372918.0	219664.35458671185	1.6975535275242029	372892
way	399308936	house	1390.1800272031057	2360.0	372918.0	219664.35458671185	1.6975535275242029	372892
way	399308937	house	8899.313375060465	15108.0	372918.0	219664.35458671185	1.6975535275242029	372892
way	399308939	house	9635.327549352627	16357.0	372918.0	219664.35458671185	1.6975535275242029	372892
way	399308940	house	2835.9809842737673	4815.0	372918.0	219664.35458671185	1.6975535275242029	372892
way	399308942	house	9651.966248336292	16385.0	372918.0	219664.35458671185	1.6975535275242029	372892
way	399308943	house	1065.4277356411735	1809.0	372918.0	219664.35458671185	1.6975535275242029	372892
way	399308944	house	2730.810148076906	4636.0	372918.0	219664.35458671185	1.6975535275242029	372892
way	399308945	house	6744.17472396207	11449.0	372918.0	219664.35458671185	1.6975535275242029	372892
way	399308946	house	21956.44328057042	37273.0	372918.0	219664.35458671185	1.6975535275242029	372892
way	399308947	house	5975.880935485903	10145.0	372918.0	219664.35458671185	1.6975535275242029	372892
way	399308948	house	7355.1983882836685	12486.0	372918.0	219664.35458671185	1.6975535275242029	372892
way	399308949	house	10837.897741225666	18398.0	372918.0	219664.35458671185	1.6975535275242029	372892
way	399308950	house	14329.110066794135	24325.0	372918.0	219664.35458671185	1.6975535275242029	372892
way	399308951	house	11274.396821633913	19139.0	372918.0	219664.35458671185	1.6975535275242029	372892
way	399308952	yes	667.0272024757218	1133.0	372918.0	219664.35458671185	1.6975535275242029	372892
way	399308953	house	2825.6227140108736	4797.0	372918.0	219664.35458671185	1.6975535275242029	372892
way	399308954	house	3933.939552487904	6679.0	372918.0	219664.35458671185	1.6975535275242029	372892
way	399308955	house	4492.540577380634	7627.0	372918.0	219664.35458671185	1.6975535275242029	372892
way	399308956	house	7199.085696508031	12221.0	372918.0	219664.35458671185	1.6975535275242029	372892
way	532972098	yes	249.58188081999845	424.0	372918.0	219664.35458671185	1.6975535275242029	372892
way	532972099	yes	790.4417914490643	1342.0	372918.0	219664.35458671185	1.6975535275242029	372892
way	532972103	yes	183.88987839480563	313.0	372918.0	219664.35458671185	1.6975535275242029	372892
way	532972104	yes	559.6934815435262	951.0	372918.0	219664.35458671185	1.6975535275242029	372892
way	532972105	yes	140.53452525432454	239.0	372918.0	219664.35458671185	1.6975535275242029	372892
way	532972106	yes	254.6103837998945	433.0	372918.0	219664.35458671185	1.6975535275242029	372892
way	532972108	yes	498.0222263553773	846.0	372918.0	219664.35458671185	1.6975535275242029	372892
way	532972110	yes	754.403808377077	1281.0	372918.0	219664.35458671185	1.6975535275242029	372892
way	605736832	yes	1806.8630393647452	3068.0	372918.0	219664.35458671185	1.6975535275242029	372892
way	643077140	yes	800.2789417516019	1359.0	372918.0	219664.35458671185	1.6975535275242029	372892
way	643077141	yes	624.6974035367283	1061.0	372918.0	219664.35458671185	1.6975535275242029	372892
way	643077142	yes	1893.658310596145	3215.0	372918.0	219664.35458671185	1.6975535275242029	372892
